fitment_id,bike_id,product_id,fitment_year_start,fitment_year_end,verification_status,source_url,source_checked_on,fitment_notes
aprilia-dorsoduro-900-launch-2018-2020-akrapovic-evolution-line-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,akrapovic-evolution-line,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-akrapovic-road-legal-line-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,akrapovic-road-legal-line,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-akrapovic-slip-on-line-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,akrapovic-slip-on-line,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-akrapovic-track-day-link-pipe-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,akrapovic-track-day-link-pipe,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-arrow-competition-full-system-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,arrow-competition-full-system,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-arrow-race-tech-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,arrow-race-tech,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-delkevic-carbon-13-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,delkevic-carbon-13,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-delkevic-mini-8-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,delkevic-mini-8,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-delkevic-oval-stainless-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,delkevic-oval-stainless,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-sc-project-cr-t-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,sc-project-cr-t,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-sc-project-crt-mid-pipe-kit-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,sc-project-crt-mid-pipe-kit,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-sc-project-sc1-m-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,sc-project-sc1-m,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-dorsoduro-900-launch-2018-2020-sc-project-sc1-r-2018-2020,aprilia-dorsoduro-900-launch-2018-2020,sc-project-sc1-r,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-akrapovic-racing-line-2024-2026,aprilia-rs-660-current-2024-2026,akrapovic-racing-line,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-akrapovic-slip-on-line-2024-2026,aprilia-rs-660-current-2024-2026,akrapovic-slip-on-line,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-akrapovic-track-day-link-pipe-2024-2026,aprilia-rs-660-current-2024-2026,akrapovic-track-day-link-pipe,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-arrow-pro-race-2024-2026,aprilia-rs-660-current-2024-2026,arrow-pro-race,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-arrow-race-tech-2024-2026,aprilia-rs-660-current-2024-2026,arrow-race-tech,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-arrow-x-kone-2024-2026,aprilia-rs-660-current-2024-2026,arrow-x-kone,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-sc-project-cr-t-2024-2026,aprilia-rs-660-current-2024-2026,sc-project-cr-t,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-sc-project-crt-mid-pipe-kit-2024-2026,aprilia-rs-660-current-2024-2026,sc-project-crt-mid-pipe-kit,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-sc-project-sc1-m-2024-2026,aprilia-rs-660-current-2024-2026,sc-project-sc1-m,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-current-2024-2026-sc-project-sc1-r-2024-2026,aprilia-rs-660-current-2024-2026,sc-project-sc1-r,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-akrapovic-racing-line-2021-2023,aprilia-rs-660-launch-2021-2023,akrapovic-racing-line,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-akrapovic-slip-on-line-2021-2023,aprilia-rs-660-launch-2021-2023,akrapovic-slip-on-line,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-akrapovic-track-day-link-pipe-2021-2023,aprilia-rs-660-launch-2021-2023,akrapovic-track-day-link-pipe,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-arrow-pro-race-2021-2023,aprilia-rs-660-launch-2021-2023,arrow-pro-race,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-arrow-race-tech-2021-2023,aprilia-rs-660-launch-2021-2023,arrow-race-tech,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-arrow-x-kone-2021-2023,aprilia-rs-660-launch-2021-2023,arrow-x-kone,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-sc-project-cr-t-2021-2023,aprilia-rs-660-launch-2021-2023,sc-project-cr-t,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-sc-project-crt-mid-pipe-kit-2021-2023,aprilia-rs-660-launch-2021-2023,sc-project-crt-mid-pipe-kit,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-sc-project-sc1-m-2021-2023,aprilia-rs-660-launch-2021-2023,sc-project-sc1-m,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rs-660-launch-2021-2023-sc-project-sc1-r-2021-2023,aprilia-rs-660-launch-2021-2023,sc-project-sc1-r,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
